Time,Temp1F,Temp2F,RH,Pres,AccX,AccZ
499,37.01,36.13,37.57,12.26,1.028,0.362
1003,36.13,36.13,37.57,12.26,1.013,0.347
1507,36.13,36.13,37.42,12.27,0.998,0.347
2011,36.13,36.13,37.42,12.26,1.013,0.347
2514,35.26,36.13,37.89,12.26,1.013,0.347
3018,35.26,36.13,37.26,12.26,1.013,0.347
3522,36.13,36.13,37.57,12.26,1.028,0.362
4025,35.26,36.13,37.89,12.26,1.043,0.362
4529,35.26,36.13,37.73,12.26,1.028,0.347
5032,36.13,36.13,37.89,12.26,1.028,0.362
5536,36.13,36.13,37.57,12.26,1.028,0.362
6040,36.13,36.13,37.73,12.26,1.013,0.362
6544,36.13,36.13,37.57,12.26,1.013,0.347
7048,36.13,36.13,37.57,12.26,1.028,0.347
7552,36.13,36.13,37.89,12.26,1.028,0.347
8055,37.01,36.13,37.57,12.26,1.028,0.362
8559,36.13,36.13,38.05,12.26,1.028,0.362
9062,35.26,36.13,37.42,12.26,1.028,0.362
9566,37.01,36.13,37.73,12.26,1.028,0.362
10070,35.26,36.13,37.73,12.26,1.013,0.347
10573,36.13,36.13,37.26,12.26,0.998,0.362
11077,36.13,36.13,37.57,12.26,1.013,0.347
11581,35.26,36.13,37.42,12.26,0.998,0.347
12085,35.26,36.13,37.73,12.26,1.013,0.347
12589,36.13,36.13,37.89,12.24,1.013,0.347
13092,36.13,36.13,37.57,12.24,1.028,0.362
13596,36.13,36.13,37.73,12.26,1.028,0.362
14100,36.13,36.13,37.73,12.26,1.013,0.347
14604,36.13,36.13,37.89,12.26,1.043,0.362
15108,35.26,36.13,37.42,12.26,1.028,0.347
15611,35.26,36.13,37.57,12.26,1.028,0.362
16115,36.13,36.13,37.73,12.26,1.013,0.362
16619,37.01,36.13,37.26,12.26,1.013,0.362
17122,36.13,36.13,37.73,12.26,1.028,0.347
17626,36.13,36.13,37.73,12.26,1.013,0.362
18129,36.13,36.13,37.73,12.26,1.013,0.362
18633,36.13,36.13,37.26,12.26,1.028,0.362
19137,36.13,36.13,37.73,12.26,1.028,0.347
19641,36.13,36.13,37.73,12.26,1.028,0.362
20145,36.13,36.13,37.73,12.26,1.013,0.347
20648,35.26,36.13,37.57,12.26,1.028,0.347
21152,36.13,36.13,37.73,12.26,1.013,0.347
21656,37.01,36.13,37.57,12.26,0.998,0.332
22160,35.26,36.13,37.73,12.24,1.013,0.347
22664,37.01,36.13,37.42,12.26,1.028,0.362
23168,35.26,36.13,37.26,12.26,1.028,0.362
23671,36.13,36.13,37.57,12.26,1.028,0.362
24175,35.26,36.13,37.73,12.26,1.013,0.362
24679,36.13,36.13,37.26,12.26,1.013,0.347
25183,36.13,36.13,37.89,12.26,1.013,0.347
25686,36.13,36.13,37.73,12.26,1.013,0.362
26189,36.13,36.13,37.42,12.26,1.028,0.347
26693,36.13,36.13,37.26,12.26,1.043,0.362
27197,36.13,36.13,37.26,12.26,1.028,0.362
27701,36.13,36.13,37.42,12.26,1.028,0.362
28205,36.13,36.13,37.89,12.26,1.028,0.362
28708,35.26,36.13,37.26,12.26,1.028,0.362
29212,36.13,36.13,37.73,12.26,1.028,0.347
29716,36.13,36.13,37.10,12.26,1.028,0.362
30220,35.26,36.13,37.73,12.26,1.013,0.362
30724,35.26,36.13,37.42,12.26,1.013,0.347
31227,37.01,36.13,37.89,12.24,0.998,0.332
31731,35.26,36.13,37.26,12.26,1.013,0.347
32235,36.13,36.13,37.73,12.26,1.013,0.347
32739,36.13,36.13,37.42,12.26,1.013,0.362
33243,36.13,36.13,37.26,12.26,1.028,0.347
33746,36.13,36.13,37.73,12.26,1.028,0.362
34249,36.13,36.13,37.42,12.26,1.013,0.362
34753,36.13,36.13,37.26,12.26,1.028,0.362
35257,37.01,36.13,37.73,12.26,1.013,0.347
35761,36.13,36.13,37.57,12.24,1.028,0.362
36264,36.13,36.13,37.89,12.26,1.028,0.362
36768,35.26,36.13,37.73,12.26,1.028,0.347
37272,36.13,36.13,37.89,12.26,1.013,0.362
37776,35.26,36.13,38.05,12.24,1.028,0.362
38280,36.13,36.13,37.73,12.26,1.028,0.347
38784,36.13,36.13,37.42,12.24,1.028,0.347
39287,36.13,36.13,37.26,12.24,1.028,0.347
39791,36.13,36.13,37.42,12.26,1.028,0.362
40295,36.13,36.13,37.73,12.26,1.028,0.347
40799,35.26,36.13,37.73,12.26,1.013,0.347
41303,36.13,36.13,37.57,12.24,0.998,0.332
41806,36.13,36.13,37.73,12.24,1.013,0.332
42310,35.26,36.13,37.26,12.26,1.013,0.362
42813,36.13,36.13,37.42,12.26,1.028,0.362
43317,36.13,36.13,37.73,12.26,1.028,0.362
43821,36.13,36.13,37.26,12.26,1.028,0.362
44324,37.01,36.13,37.42,12.26,1.028,0.347
44828,35.26,36.13,37.42,12.26,1.013,0.362
45332,36.13,36.13,37.57,12.26,1.028,0.362
45836,36.13,36.13,37.73,12.26,1.013,0.347
46340,36.13,36.13,37.89,12.26,1.028,0.362
46843,36.13,36.13,37.73,12.26,1.013,0.347
47347,36.13,36.13,37.73,12.26,1.028,0.362
47851,35.26,36.13,37.26,12.27,1.028,0.347
48355,37.01,36.13,37.73,12.26,1.028,0.362
48859,36.13,36.13,37.73,12.26,1.013,0.362
49362,36.13,36.13,37.57,12.26,1.028,0.347
49866,35.26,36.13,37.42,12.26,1.028,0.347
50370,35.26,36.13,37.26,12.26,1.013,0.347
50874,35.26,36.13,37.26,12.26,0.998,0.332
51377,37.01,36.13,37.73,12.26,1.013,0.347
51880,36.13,36.13,37.26,12.26,1.013,0.332
52384,36.13,36.13,37.57,12.26,1.028,0.347
52888,36.13,36.13,37.26,12.26,1.013,0.362
53392,35.26,36.13,37.57,12.26,1.028,0.362
53896,36.13,36.13,37.26,12.26,1.013,0.362
54400,36.13,36.13,37.42,12.26,1.013,0.347
54903,37.01,36.13,37.42,12.26,1.028,0.362
55407,36.13,36.13,37.26,12.26,1.013,0.347
55911,36.13,36.13,37.57,12.26,1.013,0.362
56415,36.13,36.13,37.73,12.26,1.028,0.362
56919,35.26,36.13,37.10,12.26,1.013,0.347
57422,36.13,36.13,37.26,12.26,1.028,0.362
57926,36.13,36.13,37.42,12.26,1.013,0.362
58430,36.13,36.13,37.42,12.24,1.028,0.362
58934,35.26,36.13,37.10,12.26,1.013,0.347
59438,36.13,36.13,37.10,12.26,1.013,0.347
59941,35.26,35.26,37.57,12.26,0.998,0.347
60444,36.13,36.13,37.10,12.26,1.013,0.362
60948,36.13,36.13,37.26,12.26,1.013,0.362
61452,36.13,36.13,37.57,12.26,1.028,0.347
61956,35.26,36.13,37.10,12.26,1.028,0.347
62459,37.01,36.13,37.57,12.24,1.013,0.347
62963,36.13,36.13,37.10,12.26,1.013,0.347
63467,36.13,36.13,37.73,12.26,1.013,0.362
63971,36.13,36.13,37.42,12.26,1.028,0.347
64475,35.26,36.13,37.73,12.26,1.028,0.347
64978,37.01,36.13,37.42,12.26,1.013,0.347
65482,37.01,36.13,37.26,12.26,1.028,0.347
65986,37.01,36.13,37.26,12.26,0.998,0.347
66490,36.13,36.13,37.73,12.24,1.028,0.362
66994,36.13,36.13,37.42,12.26,1.028,0.347
67497,36.13,36.13,37.42,12.26,1.013,0.347
68001,36.13,36.13,37.57,12.24,0.998,0.332
68504,37.01,35.26,37.26,12.26,1.013,0.332
69008,36.13,36.13,37.26,12.26,1.028,0.347
69512,36.13,36.13,37.73,12.26,1.013,0.347
70016,35.26,36.13,37.89,12.26,1.028,0.347
70519,37.01,36.13,37.26,12.26,1.013,0.347
71023,36.13,35.26,37.73,12.26,1.013,0.347
71527,36.13,36.13,37.26,12.26,1.013,0.347
72031,37.01,36.13,37.57,12.26,1.028,0.362
72535,36.13,36.13,37.26,12.26,1.013,0.347
73038,36.13,36.13,37.73,12.24,1.013,0.362
73542,36.13,36.13,37.73,12.26,1.013,0.347
74046,36.13,36.13,37.26,12.26,1.028,0.347
74550,36.13,36.13,37.26,12.26,1.028,0.347
75054,36.13,36.13,37.26,12.26,1.013,0.347
75557,35.26,36.13,37.73,12.26,1.028,0.347
76061,36.13,36.13,37.57,12.26,1.013,0.362
76565,36.13,36.13,37.42,12.26,1.013,0.347
77069,35.26,36.13,37.26,12.26,1.028,0.362
77572,36.13,36.13,37.73,12.26,1.013,0.347
78075,36.13,36.13,37.42,12.26,0.998,0.347
78579,36.13,35.26,37.10,12.26,0.998,0.347
79083,37.01,36.13,37.26,12.26,1.013,0.347
79587,36.13,36.13,37.26,12.26,1.028,0.362
